-------- Resultados para Hash: 24 --------
Tamanio Texto,Licito,Ilicito,Tiempo
20,00000001100000100011000000000000,00111111110101011100000000000000,16.035347192548215
20,01000011001100100001000000000000,11001100010000010111000000000000,20.758935255929828
21,00110000001000011101100000000000,10011111011000000110000000000000,39.68149331398308
20,11110001010100101100000000000000,00100011100101010010000000000000,32.533361417241395
21,01100001000010001110000000000000,00010001100010101011100000000000,46.77900123782456
La media para 5 es de: 36.33590799774974
La media total es de: 33.84769172407687

-------- Resultados para Hash: 44 --------
Tamanio Texto,Licito,Ilicito,Tiempo
23,10001100011100111110001000000000,00000110111110100011010000000000,205.8981276517734
22,10101000101010111000010000000000,00011000100010010110100000000000,107.84287136327475
23,00101011011000010111110000000000,01110110100000011011111000000000,155.88108193594962
24,00111101111010100001010100000000,01100010110111111101110100000000,332.42170585133135
23,10001000011100111111100000000000,10100110110001010101101000000000,206.1357876593247
22,11110100111110010001100000000000,00111111010101111101100000000000,129.0644889138639
22,00111010111000101010110000000000,01010101010001111000000000000000,82.08196331560612
24,00111001101110100111001100000000,00001011010111011001101100000000,324.06188229471445
22,00100111000010100001100000000000,00110010011111010001000000000000,77.43439366854727
22,10010101110100010111100000000000,00010011101010010010100000000000,106.47704959660769
23,10011100001010111000000000000000,00010011001010101010111000000000,214.11475885193795
22,01000011001100100001000000000000,11001100010000010111000000000000,83.9677699264139
22,00000101001110111101010000000000,11000111110001000100010000000000,68.73673491831869
23,01011100110000110000101000000000,11010100101101111011010000000000,185.63739605806768
22,01100001000010001110000000000000,00010001100010101011100000000000,93.78811341058463
La media para 5 es de: 201.63591489233076
La media total es de: 158.2362750277544

-------- Resultados para Hash: 48 --------
Tamanio Texto,Licito,Ilicito,Tiempo
24,10001100011100111110001000000000,00000110111110100011010000000000,408.26927684247494
25,01011111101100111010010110000000,11110010000011011101101100000000,714.0469991341233
24,11100000000110110100001100000000,00001000100001000100001100000000,495.82673675287515
27,00001010111010000010100110100000,11000000111100100010111111000000,2176.2364365393296
25,11011100001010101001111100000000,11000011010001110010001110000000,979.305850460194
24,11101101101000100110011000000000,11101111110010011010100100000000,514.1625960003585
25,00111011011100110010110010000000,00101010001010000000111100000000,635.8477585278451
24,01000011001000110010000100000000,00001101001011001111101100000000,334.1400836063549
26,01001101000010000101001101000000,10000000000110011101101101000000,1368.638981799595
26,00001100111010110001000011000000,01000011111010001100110111000000,1099.1753656622022
24,00110111010100010000100100000000,01110111011000100101011100000000,325.7225208263844
26,00001111110000110100100010000000,01010010101100000110100101000000,1103.8685009693727
26,01001010100010101000011110000000,01101100011111001110010101000000,1354.059001381509
25,00001001000110100111101010000000,01001100101011100000010110000000,544.8095685737208
26,00010010100000111111001001000000,10000001001101001001101101000000,1122.5800471520051
La media para 5 es de: 954.7370599457994
La media total es de: 878.445981615223
