------- Iteracion 0 --------
Original,Colision,Equivalente,Hash
998263,377997,0,0
712874,285018,0,0
728471,792880,0,0
876543,088941,0,0
238745,629917,0,0
665534,852676,665534,2097854040
918237,993286,0,0
564738,785197,0,0
163937,150554,0,0
228844,029704,0,0
947264,775175,0,0
------- Iteracion 18 --------
Original,Colision,Equivalente,Hash
456789,588027,0,0
987654,074689,0,0
123456,972457,0,0
937586,061555,0,0
998263,345815,0,0
712874,549349,0,0
728471,943237,0,0
876543,073499,0,0
238745,207632,0,0
665534,875769,665534,2097854040
918237,158931,0,0
564738,935735,0,0
163937,210148,0,0
228844,162676,0,0
947264,643590,0,0
------- Iteracion 19 --------
Original,Colision,Equivalente,Hash
456789,835151,0,0
987654,166722,0,0
123456,043758,0,0
937586,137035,0,0
998263,590668,0,0
712874,128262,0,0
728471,830670,0,0
876543,318703,0,0
238745,862754,0,0
665534,196544,665534,2097854040
918237,842065,0,0
564738,029587,0,0
163937,768863,0,0
228844,686712,0,0
947264,446259,0,0
------- Iteracion 20 --------
Original,Colision,Equivalente,Hash
456789,727295,0,0
987654,715507,0,0
123456,314490,0,0
937586,000543,0,0
998263,406327,0,0
712874,370643,0,0
728471,346913,0,0
876543,264128,0,0
238745,117920,0,0
665534,726305,665534,2097854040
918237,434841,0,0
564738,708190,0,0
163937,241194,0,0
228844,017857,0,0
947264,545566,0,0
------- Iteracion 21 --------
Original,Colision,Equivalente,Hash
456789,911903,0,0
987654,900149,0,0
123456,993324,0,0
937586,061555,0,0
998263,330179,0,0
712874,104866,0,0
728471,288803,0,0
876543,012203,0,0
238745,568572,0,0
665534,660732,665534,2097854040
918237,549293,0,0
564738,306666,0,0
163937,025182,0,0
228844,317292,0,0
947264,565872,0,0
------- Iteracion 22 --------
Original,Colision,Equivalente,Hash
456789,010012,0,0
987654,002716,0,0
123456,717923,0,0
937586,356294,0,0
998263,521935,0,0
712874,010364,0,0
728471,955414,0,0
876543,776301,0,0
238745,144295,0,0
665534,173565,665534,2097854040
918237,834737,0,0
564738,636200,0,0
163937,144594,0,0
228844,587740,0,0
947264,299640,0,0
------- Iteracion 23 --------
Original,Colision,Equivalente,Hash
456789,561931,0,0
987654,193176,0,0
123456,533205,0,0
937586,703732,0,0
998263,711456,0,0
712874,420176,0,0
728471,725286,0,0
876543,377678,0,0
238745,360690,0,0
665534,793048,665534,2097854040
918237,842065,0,0
564738,246305,0,0
163937,521465,0,0
228844,957264,0,0
947264,530257,0,0
------- Iteracion 24 --------
Original,Colision,Equivalente,Hash
456789,219054,0,0
987654,909224,0,0
123456,444894,0,0
937586,455477,0,0
998263,901388,0,0
712874,437274,0,0
728471,922664,0,0
876543,594729,0,0
238745,553115,0,0
665534,387647,665534,2097854040
918237,526074,0,0
564738,467502,0,0
163937,139206,0,0
228844,794078,0,0
947264,162637,0,0
------- Iteracion 25 --------
Original,Colision,Equivalente,Hash
456789,039955,0,0
987654,445009,0,0
123456,628690,0,0
937586,957764,0,0
998263,011996,0,0
712874,030301,0,0
728471,396035,0,0
876543,841501,0,0
238745,771769,0,0
665534,771728,665534,2097854040
918237,337853,0,0
564738,281782,0,0
163937,372812,0,0
228844,543914,0,0
947264,384558,0,0
------- Iteracion 26 --------
Original,Colision,Equivalente,Hash
456789,578823,0,0
